"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2015-07-09 17:20:32 +02:00"

Year,"Country / territory of asylum/residence",Origin,"Population type",Value
2014,Aruba,Colombia,Asylum-seekers,*
2014,Aruba,Cuba,Asylum-seekers,*
2014,Afghanistan,Afghanistan,Asylum-seekers,
2014,Afghanistan,"Iran (Islamic Rep. of)",Asylum-seekers,20
2014,Afghanistan,Iraq,Asylum-seekers,*
2014,Afghanistan,Kazakhstan,Asylum-seekers,*
2014,Afghanistan,Kyrgyzstan,Asylum-seekers,*
2014,Afghanistan,Pakistan,Asylum-seekers,33
2014,Afghanistan,Palestinian,Asylum-seekers,*
2014,Afghanistan,Tajikistan,Asylum-seekers,*
2014,Afghanistan,Uzbekistan,Asylum-seekers,*
2014,Angola,Burundi,Asylum-seekers,94
2014,Angola,"Central African Rep.",Asylum-seekers,76
2014,Angola,"Côte d'Ivoire",Asylum-seekers,5926
2014,Angola,Cameroon,Asylum-seekers,
2014,Angola,"Dem. Rep. of the Congo",Asylum-seekers,500
2014,Angola,Congo,Asylum-seekers,58
2014,Angola,Djibouti,Asylum-seekers,*
2014,Angola,Algeria,Asylum-seekers,*
2014,Angola,Eritrea,Asylum-seekers,1784
2014,Angola,"Western Sahara",Asylum-seekers,602
2014,Angola,Ethiopia,Asylum-seekers,58
2014,Angola,Guinea,Asylum-seekers,9141
2014,Angola,Gambia,Asylum-seekers,*
2014,Angola,Guinea-Bissau,Asylum-seekers,268
2014,Angola,Haiti,Asylum-seekers,*
2014,Angola,Iraq,Asylum-seekers,*
2014,Angola,Liberia,Asylum-seekers,478
2014,Angola,Libya,Asylum-seekers,
2014,Angola,Mali,Asylum-seekers,*
2014,Angola,Mauritania,Asylum-seekers,5415
2014,Angola,Mauritius,Asylum-seekers,*
2014,Angola,Nigeria,Asylum-seekers,*
2014,Angola,"Dem. People's Rep. of Korea",Asylum-seekers,*
2014,Angola,Rwanda,Asylum-seekers,85
2014,Angola,Sudan,Asylum-seekers,1679
2014,Angola,Senegal,Asylum-seekers,*
2014,Angola,"Sierra Leone",Asylum-seekers,1498
2014,Angola,Somalia,Asylum-seekers,1752
2014,Angola,"Syrian Arab Rep.",Asylum-seekers,*
2014,Angola,Chad,Asylum-seekers,780
2014,Angola,Togo,Asylum-seekers,*
2014,Angola,"United Rep. of Tanzania",Asylum-seekers,
2014,Angola,Uganda,Asylum-seekers,6
2014,Angola,"South Africa",Asylum-seekers,
2014,Angola,Zambia,Asylum-seekers,*
2014,Angola,Zimbabwe,Asylum-seekers,*
2014,Albania,Afghanistan,Asylum-seekers,*
2014,Albania,Albania,Asylum-seekers,
2014,Albania,Armenia,Asylum-seekers,*
2014,Albania,Azerbaijan,Asylum-seekers,5
2014,Albania,China,Asylum-seekers,
2014,Albania,"Dem. Rep. of the Congo",Asylum-seekers,
2014,Albania,Egypt,Asylum-seekers,
2014,Albania,Eritrea,Asylum-seekers,*
2014,Albania,"Iran (Islamic Rep. of)",Asylum-seekers,456
2014,Albania,Iraq,Asylum-seekers,
2014,Albania,Mali,Asylum-seekers,*
2014,Albania,Montenegro,Asylum-seekers,
2014,Albania,Pakistan,Asylum-seekers,*
2014,Albania,Peru,Asylum-seekers,
2014,Albania,Palestinian,Asylum-seekers,
2014,Albania,"Russian Federation",Asylum-seekers,*
2014,Albania,Sudan,Asylum-seekers,*
2014,Albania,Senegal,Asylum-seekers,*
2014,Albania,Somalia,Asylum-seekers,*
2014,Albania,"Serbia and Kosovo (S/RES/1244 (1999))",Asylum-seekers,13
2014,Albania,"Syrian Arab Rep.",Asylum-seekers,8
2014,Albania,Turkey,Asylum-seekers,
2014,Albania,Ukraine,Asylum-seekers,*
2014,Albania,Uzbekistan,Asylum-seekers,
2014,"United Arab Emirates",Afghanistan,Asylum-seekers,*
2014,"United Arab Emirates",Eritrea,Asylum-seekers,*
