Country / territory of asylum/residence,Origin,Population type,Value
Aruba,Colombia,Asylum-seekers,*
Aruba,Cuba,Asylum-seekers,*
Afghanistan,Afghanistan,Asylum-seekers,
Afghanistan,Iran (Islamic Rep. of),Asylum-seekers,20
Afghanistan,Iraq,Asylum-seekers,*
Afghanistan,Kazakhstan,Asylum-seekers,*
Afghanistan,Kyrgyzstan,Asylum-seekers,*
Afghanistan,Pakistan,Asylum-seekers,33
Afghanistan,Palestinian,Asylum-seekers,*
Afghanistan,Tajikistan,Asylum-seekers,*
Afghanistan,Uzbekistan,Asylum-seekers,*
Angola,Burundi,Asylum-seekers,94
Angola,Central African Rep.,Asylum-seekers,76
Angola,Côte d'Ivoire,Asylum-seekers,5926
Angola,Cameroon,Asylum-seekers,
Angola,Dem. Rep. of the Congo,Asylum-seekers,500
Angola,Congo,Asylum-seekers,58
Angola,Djibouti,Asylum-seekers,*
Angola,Algeria,Asylum-seekers,*
Angola,Eritrea,Asylum-seekers,1784
Angola,Western Sahara,Asylum-seekers,602
Angola,Ethiopia,Asylum-seekers,58
Angola,Guinea,Asylum-seekers,9141
Angola,Gambia,Asylum-seekers,*
Angola,Guinea-Bissau,Asylum-seekers,268
Angola,Haiti,Asylum-seekers,*
Angola,Iraq,Asylum-seekers,*
Angola,Liberia,Asylum-seekers,478
Angola,Libya,Asylum-seekers,
Angola,Mali,Asylum-seekers,*
Angola,Mauritania,Asylum-seekers,5415
Angola,Mauritius,Asylum-seekers,*
Angola,Nigeria,Asylum-seekers,*
Angola,Dem. People's Rep. of Korea,Asylum-seekers,*
Angola,Rwanda,Asylum-seekers,85
Angola,Sudan,Asylum-seekers,1679
Angola,Senegal,Asylum-seekers,*
Angola,Sierra Leone,Asylum-seekers,1498
Angola,Somalia,Asylum-seekers,1752
Angola,Syrian Arab Rep.,Asylum-seekers,*
Angola,Chad,Asylum-seekers,780
Angola,Togo,Asylum-seekers,*
Angola,United Rep. of Tanzania,Asylum-seekers,
Angola,Uganda,Asylum-seekers,6
Angola,South Africa,Asylum-seekers,
Angola,Zambia,Asylum-seekers,*
Angola,Zimbabwe,Asylum-seekers,*
Albania,Afghanistan,Asylum-seekers,*
Albania,Albania,Asylum-seekers,
Albania,Armenia,Asylum-seekers,*
Albania,Azerbaijan,Asylum-seekers,5
Albania,China,Asylum-seekers,
Albania,Dem. Rep. of the Congo,Asylum-seekers,
Albania,Egypt,Asylum-seekers,
Albania,Eritrea,Asylum-seekers,*
Albania,Iran (Islamic Rep. of),Asylum-seekers,456
Albania,Iraq,Asylum-seekers,
Albania,Mali,Asylum-seekers,*
Albania,Montenegro,Asylum-seekers,
Albania,Pakistan,Asylum-seekers,*
Albania,Peru,Asylum-seekers,
Albania,Palestinian,Asylum-seekers,
Albania,Russian Federation,Asylum-seekers,*
Albania,Sudan,Asylum-seekers,*
Albania,Senegal,Asylum-seekers,*
Albania,Somalia,Asylum-seekers,*
Albania,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,13
Albania,Syrian Arab Rep.,Asylum-seekers,8
Albania,Turkey,Asylum-seekers,
Albania,Ukraine,Asylum-seekers,*
Albania,Uzbekistan,Asylum-seekers,
United Arab Emirates,Afghanistan,Asylum-seekers,*
United Arab Emirates,Eritrea,Asylum-seekers,*
United Arab Emirates,Ethiopia,Asylum-seekers,*
United Arab Emirates,Iran (Islamic Rep. of),Asylum-seekers,*
United Arab Emirates,Iraq,Asylum-seekers,200
United Arab Emirates,Palestinian,Asylum-seekers,
United Arab Emirates,Sudan,Asylum-seekers,*
United Arab Emirates,Somalia,Asylum-seekers,*
United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,12
Argentina,Afghanistan,Asylum-seekers,*
Argentina,Angola,Asylum-seekers,*
Argentina,Albania,Asylum-seekers,
Argentina,Armenia,Asylum-seekers,30
Argentina,Burundi,Asylum-seekers,*
Argentina,Benin,Asylum-seekers,
Argentina,Bangladesh,Asylum-seekers,8
Argentina,Bulgaria,Asylum-seekers,
Argentina,Bosnia and Herzegovina,Asylum-seekers,
Argentina,Belarus,Asylum-seekers,
Argentina,Bolivia (Plurinational State of),Asylum-seekers,
Argentina,Brazil,Asylum-seekers,*
Argentina,Central African Rep.,Asylum-seekers,
Argentina,Chile,Asylum-seekers,7
Argentina,China,Asylum-seekers,*
Argentina,Côte d'Ivoire,Asylum-seekers,*
Argentina,Cameroon,Asylum-seekers,5
Argentina,Dem. Rep. of the Congo,Asylum-seekers,5
Argentina,Congo,Asylum-seekers,*
Argentina,Colombia,Asylum-seekers,141
Argentina,Costa Rica,Asylum-seekers,
Argentina,Cuba,Asylum-seekers,142
Argentina,Czech Rep.,Asylum-seekers,*
Argentina,Germany,Asylum-seekers,*
Argentina,Dominican Rep.,Asylum-seekers,67
Argentina,Algeria,Asylum-seekers,*
Argentina,Ecuador,Asylum-seekers,
Argentina,Egypt,Asylum-seekers,*
Argentina,Eritrea,Asylum-seekers,
Argentina,Spain,Asylum-seekers,*
Argentina,Ethiopia,Asylum-seekers,
Argentina,Georgia,Asylum-seekers,
Argentina,Ghana,Asylum-seekers,42
Argentina,Guinea,Asylum-seekers,8
Argentina,Gambia,Asylum-seekers,*
Argentina,Guinea-Bissau,Asylum-seekers,*
Argentina,Guatemala,Asylum-seekers,*
Argentina,Guyana,Asylum-seekers,*
Argentina,Honduras,Asylum-seekers,*
Argentina,Croatia,Asylum-seekers,
Argentina,Haiti,Asylum-seekers,49
Argentina,Hungary,Asylum-seekers,*
Argentina,India,Asylum-seekers,53
Argentina,Iran (Islamic Rep. of),Asylum-seekers,*
Argentina,Iraq,Asylum-seekers,*
Argentina,Italy,Asylum-seekers,
Argentina,Japan,Asylum-seekers,*
Argentina,Kazakhstan,Asylum-seekers,
Argentina,Kenya,Asylum-seekers,
Argentina,Kyrgyzstan,Asylum-seekers,
Argentina,Liberia,Asylum-seekers,
Argentina,Libya,Asylum-seekers,*
Argentina,Sri Lanka,Asylum-seekers,
Argentina,Morocco,Asylum-seekers,*
Argentina,Mexico,Asylum-seekers,*
Argentina,The former Yugoslav Republic of Macedonia,Asylum-seekers,
Argentina,Mali,Asylum-seekers,*
Argentina,Mauritania,Asylum-seekers,
Argentina,Nigeria,Asylum-seekers,16
Argentina,Nicaragua,Asylum-seekers,
Argentina,Nepal,Asylum-seekers,*
Argentina,Pakistan,Asylum-seekers,7
Argentina,Peru,Asylum-seekers,27
Argentina,Philippines,Asylum-seekers,*
Argentina,Portugal,Asylum-seekers,*
Argentina,Paraguay,Asylum-seekers,8
Argentina,Palestinian,Asylum-seekers,*
Argentina,Romania,Asylum-seekers,*
Argentina,Russian Federation,Asylum-seekers,29
Argentina,Rwanda,Asylum-seekers,
Argentina,Sudan,Asylum-seekers,*
Argentina,Senegal,Asylum-seekers,56
Argentina,Singapore,Asylum-seekers,*
Argentina,Sierra Leone,Asylum-seekers,*
Argentina,El Salvador,Asylum-seekers,*
Argentina,Somalia,Asylum-seekers,*
Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,*
Argentina,Slovakia,Asylum-seekers,*
Argentina,Syrian Arab Rep.,Asylum-seekers,22
Argentina,Chad,Asylum-seekers,
Argentina,Togo,Asylum-seekers,*
Argentina,Thailand,Asylum-seekers,*
Argentina,Turkmenistan,Asylum-seekers,
Argentina,Tunisia,Asylum-seekers,*
Argentina,Turkey,Asylum-seekers,*
Argentina,United Rep. of Tanzania,Asylum-seekers,*
Argentina,Ukraine,Asylum-seekers,89
Argentina,United States of America,Asylum-seekers,*
Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,5
Argentina,Stateless,Asylum-seekers,
Argentina,Various/Unknown,Asylum-seekers,*
Argentina,Yemen,Asylum-seekers,
Argentina,South Africa,Asylum-seekers,*
Argentina,Zimbabwe,Asylum-seekers,
Armenia,Armenia,Asylum-seekers,
Armenia,Azerbaijan,Asylum-seekers,*
Armenia,Benin,Asylum-seekers,*
Armenia,Côte d'Ivoire,Asylum-seekers,*
Armenia,Cameroon,Asylum-seekers,*
Armenia,Congo,Asylum-seekers,*
Armenia,Ethiopia,Asylum-seekers,
Armenia,Georgia,Asylum-seekers,*
Armenia,Ghana,Asylum-seekers,*
Armenia,Guinea,Asylum-seekers,*
Armenia,Iran (Islamic Rep. of),Asylum-seekers,20
Armenia,Iraq,Asylum-seekers,*
Armenia,Kazakhstan,Asylum-seekers,
Armenia,Lebanon,Asylum-seekers,*
Armenia,Mali,Asylum-seekers,*
Armenia,Palestinian,Asylum-seekers,*
Armenia,Russian Federation,Asylum-seekers,*
Armenia,Syrian Arab Rep.,Asylum-seekers,9
Armenia,Turkey,Asylum-seekers,*
Armenia,Ukraine,Asylum-seekers,27
Armenia,United States of America,Asylum-seekers,*
