Country / territory of asylum/residence,Origin,Population type,Value
Aruba,Colombia,Asylum-seekers,*
Aruba,Colombia,Refugees (incl. refugee-like situations),
Aruba,Cuba,Asylum-seekers,*
Aruba,Cuba,Refugees (incl. refugee-like situations),
Afghanistan,Afghanistan,Asylum-seekers,
Afghanistan,Afghanistan,Refugees (incl. refugee-like situations),
Afghanistan,Iran (Islamic Rep. of),Asylum-seekers,20
Afghanistan,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),36
Afghanistan,Iraq,Asylum-seekers,*
Afghanistan,Iraq,Refugees (incl. refugee-like situations),*
Afghanistan,Kazakhstan,Asylum-seekers,*
Afghanistan,Kazakhstan,Refugees (incl. refugee-like situations),
Afghanistan,Kyrgyzstan,Asylum-seekers,*
Afghanistan,Kyrgyzstan,Refugees (incl. refugee-like situations),
Afghanistan,Pakistan,Asylum-seekers,33
Afghanistan,Pakistan,Refugees (incl. refugee-like situations),300385
Afghanistan,Palestinian,Asylum-seekers,*
Afghanistan,Palestinian,Refugees (incl. refugee-like situations),*
Afghanistan,Tajikistan,Asylum-seekers,*
Afghanistan,Tajikistan,Refugees (incl. refugee-like situations),
Afghanistan,Uzbekistan,Asylum-seekers,*
Afghanistan,Uzbekistan,Refugees (incl. refugee-like situations),
Angola,Burundi,Asylum-seekers,94
Angola,Burundi,Refugees (incl. refugee-like situations),8
Angola,Central African Rep.,Asylum-seekers,76
Angola,Central African Rep.,Refugees (incl. refugee-like situations),9
Angola,Côte d'Ivoire,Asylum-seekers,5926
Angola,Côte d'Ivoire,Refugees (incl. refugee-like situations),513
Angola,Cameroon,Asylum-seekers,
Angola,Cameroon,Refugees (incl. refugee-like situations),*
Angola,Dem. Rep. of the Congo,Asylum-seekers,500
Angola,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),12944
Angola,Congo,Asylum-seekers,58
Angola,Congo,Refugees (incl. refugee-like situations),*
Angola,Djibouti,Asylum-seekers,*
Angola,Djibouti,Refugees (incl. refugee-like situations),
Angola,Algeria,Asylum-seekers,*
Angola,Algeria,Refugees (incl. refugee-like situations),*
Angola,Eritrea,Asylum-seekers,1784
Angola,Eritrea,Refugees (incl. refugee-like situations),19
Angola,Western Sahara,Asylum-seekers,602
Angola,Western Sahara,Refugees (incl. refugee-like situations),14
Angola,Ethiopia,Asylum-seekers,58
Angola,Ethiopia,Refugees (incl. refugee-like situations),
Angola,Guinea,Asylum-seekers,9141
Angola,Guinea,Refugees (incl. refugee-like situations),108
Angola,Gambia,Asylum-seekers,*
Angola,Gambia,Refugees (incl. refugee-like situations),
Angola,Guinea-Bissau,Asylum-seekers,268
Angola,Guinea-Bissau,Refugees (incl. refugee-like situations),*
Angola,Haiti,Asylum-seekers,*
Angola,Haiti,Refugees (incl. refugee-like situations),*
Angola,Iraq,Asylum-seekers,*
Angola,Iraq,Refugees (incl. refugee-like situations),
Angola,Liberia,Asylum-seekers,478
Angola,Liberia,Refugees (incl. refugee-like situations),153
Angola,Libya,Asylum-seekers,
Angola,Libya,Refugees (incl. refugee-like situations),*
Angola,Mali,Asylum-seekers,*
Angola,Mali,Refugees (incl. refugee-like situations),*
Angola,Mauritania,Asylum-seekers,5415
Angola,Mauritania,Refugees (incl. refugee-like situations),299
Angola,Mauritius,Asylum-seekers,*
Angola,Mauritius,Refugees (incl. refugee-like situations),
Angola,Nigeria,Asylum-seekers,*
Angola,Nigeria,Refugees (incl. refugee-like situations),
Angola,Dem. People's Rep. of Korea,Asylum-seekers,*
Angola,Dem. People's Rep. of Korea,Refugees (incl. refugee-like situations),
Angola,Rwanda,Asylum-seekers,85
Angola,Rwanda,Refugees (incl. refugee-like situations),257
Angola,Sudan,Asylum-seekers,1679
Angola,Sudan,Refugees (incl. refugee-like situations),300
Angola,Senegal,Asylum-seekers,*
Angola,Senegal,Refugees (incl. refugee-like situations),
Angola,Sierra Leone,Asylum-seekers,1498
Angola,Sierra Leone,Refugees (incl. refugee-like situations),372
Angola,Somalia,Asylum-seekers,1752
Angola,Somalia,Refugees (incl. refugee-like situations),272
Angola,Syrian Arab Rep.,Asylum-seekers,*
Angola,Syrian Arab Rep.,Refugees (incl. refugee-like situations),
Angola,Chad,Asylum-seekers,780
Angola,Chad,Refugees (incl. refugee-like situations),177
Angola,Togo,Asylum-seekers,*
Angola,Togo,Refugees (incl. refugee-like situations),
Angola,United Rep. of Tanzania,Asylum-seekers,
Angola,United Rep. of Tanzania,Refugees (incl. refugee-like situations),*
Angola,Uganda,Asylum-seekers,6
Angola,Uganda,Refugees (incl. refugee-like situations),6
Angola,South Africa,Asylum-seekers,
Angola,South Africa,Refugees (incl. refugee-like situations),*
Angola,Zambia,Asylum-seekers,*
Angola,Zambia,Refugees (incl. refugee-like situations),7
Angola,Zimbabwe,Asylum-seekers,*
Angola,Zimbabwe,Refugees (incl. refugee-like situations),
Albania,Afghanistan,Asylum-seekers,*
Albania,Afghanistan,Refugees (incl. refugee-like situations),
Albania,Albania,Asylum-seekers,
Albania,Albania,Refugees (incl. refugee-like situations),
Albania,Armenia,Asylum-seekers,*
Albania,Armenia,Refugees (incl. refugee-like situations),
Albania,Azerbaijan,Asylum-seekers,5
Albania,Azerbaijan,Refugees (incl. refugee-like situations),
Albania,China,Asylum-seekers,
Albania,China,Refugees (incl. refugee-like situations),12
Albania,Dem. Rep. of the Congo,Asylum-seekers,
Albania,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),*
Albania,Egypt,Asylum-seekers,
Albania,Egypt,Refugees (incl. refugee-like situations),*
Albania,Eritrea,Asylum-seekers,*
Albania,Eritrea,Refugees (incl. refugee-like situations),
Albania,Iran (Islamic Rep. of),Asylum-seekers,456
Albania,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),
Albania,Iraq,Asylum-seekers,
Albania,Iraq,Refugees (incl. refugee-like situations),*
Albania,Mali,Asylum-seekers,*
Albania,Mali,Refugees (incl. refugee-like situations),
Albania,Montenegro,Asylum-seekers,
Albania,Montenegro,Refugees (incl. refugee-like situations),*
Albania,Pakistan,Asylum-seekers,*
Albania,Pakistan,Refugees (incl. refugee-like situations),
Albania,Peru,Asylum-seekers,
Albania,Peru,Refugees (incl. refugee-like situations),*
Albania,Palestinian,Asylum-seekers,
Albania,Palestinian,Refugees (incl. refugee-like situations),*
Albania,Russian Federation,Asylum-seekers,*
Albania,Russian Federation,Refugees (incl. refugee-like situations),
Albania,Sudan,Asylum-seekers,*
Albania,Sudan,Refugees (incl. refugee-like situations),
Albania,Senegal,Asylum-seekers,*
Albania,Senegal,Refugees (incl. refugee-like situations),
Albania,Somalia,Asylum-seekers,*
Albania,Somalia,Refugees (incl. refugee-like situations),
Albania,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,13
Albania,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),64
Albania,Syrian Arab Rep.,Asylum-seekers,8
Albania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),*
Albania,Turkey,Asylum-seekers,
Albania,Turkey,Refugees (incl. refugee-like situations),*
Albania,Ukraine,Asylum-seekers,*
Albania,Ukraine,Refugees (incl. refugee-like situations),
Albania,Uzbekistan,Asylum-seekers,
Albania,Uzbekistan,Refugees (incl. refugee-like situations),*
United Arab Emirates,Afghanistan,Asylum-seekers,*
United Arab Emirates,Afghanistan,Refugees (incl. refugee-like situations),*
United Arab Emirates,Eritrea,Asylum-seekers,*
United Arab Emirates,Eritrea,Refugees (incl. refugee-like situations),
United Arab Emirates,Ethiopia,Asylum-seekers,*
