code,fr
title,Demandes d'asile déposées en Europe de 1985-2014
descr,Tous les pays de l'espace économique européen sont considérés ici. Placez votre curseur ou tapotez sur une région du graphique pour voir les chiffres exacts d'un pays.
y.lab,Demandes d'asile annuelles en millers
source,source: Eurostat
legend.country,Pays de l'espace économique européen
legend.descr,(Cliquez pour masquer)
tooltip.ayslumdemand,demandes d'asile
annotation.exYougoslavia,Début conflit en ex-Yougoslavie
annotation.Kosovo,Guerre du Kosovo
annotation.Syria,Guerre civile Syrie
iso.others,autres pays
full.Austria,Autriche
full.autres,autres pays de l'Union Européenne ou de l'espace économique européen
full.France,France
full.Germany (until 1990 former territory of the FRG),Allemagne
full.Hungary,Hongrie
full.Italy,Italie
full.Netherlands,Pays-Bas
full.Sweden,Suède
full.Switzerland,Suisse
full.United Kingdom,Royaume-Uni
