"","iso2","geo","citizen","sum","pop","perU","sq","cit.code"
"1","AT","Austria","Afghanistan",1635,8100273,10.0922524463064,10,"cit.Afgh"
"2","AT","Austria","Albania",30,8100273,0.185178943968926,0,"cit.Alba"
"3","AT","Austria","Eritrea",10,8100273,0.0617263146563085,0,"cit.Erit"
"4","AT","Austria","Iraq",805,8100273,4.96896832983283,5,"cit.Iraq"
"5","AT","Austria","Libya",35,8100273,0.21604210129708,0,"cit.Liby"
"6","AT","Austria","Mali",5,8100273,0.0308631573281542,0,"cit.Mali"
"7","AT","Austria","Serbia",105,8100273,0.648126303891239,1,"cit.Serb"
"8","AT","Austria","Somalia",375,8100273,2.31473679961157,2,"cit.Soma"
"9","AT","Austria","Stateless",220,8100273,1.35797892243879,1,"cit.Stat"
"10","AT","Austria","Syria",2415,8100273,14.9069049894985,15,"cit.Syri"
"11","AT","Austria","Ukraine",160,8100273,0.987621034500936,1,"cit.Ukra"
"12","AT","Austria","Kosovo (under United Nations Security Council Resolution 1244/99)",2125,8100273,13.1168418644656,13,"cit.Koso"
"13","AT","Austria","Total",10210,8100273,63,15,"cit.Tota"
"14","CH","Switzerland","Afghanistan",220,7313853,1.5039952265926,2,"cit.Afgh"
"15","CH","Switzerland","Albania",30,7313853,0.205090258171719,0,"cit.Alba"
"16","CH","Switzerland","Eritrea",560,7313853,3.82835148587208,4,"cit.Erit"
"17","CH","Switzerland","Iraq",110,7313853,0.751997613296302,1,"cit.Iraq"
"18","CH","Switzerland","Libya",50,7313853,0.341817096952865,0,"cit.Liby"
"19","CH","Switzerland","Mali",30,7313853,0.205090258171719,0,"cit.Mali"
"20","CH","Switzerland","Serbia",60,7313853,0.410180516343438,0,"cit.Serb"
"21","CH","Switzerland","Somalia",195,7313853,1.33308667811617,1,"cit.Soma"
"22","CH","Switzerland","Stateless",60,7313853,0.410180516343438,0,"cit.Stat"
"23","CH","Switzerland","Syria",390,7313853,2.66617335623234,3,"cit.Syri"
"24","CH","Switzerland","Ukraine",115,7313853,0.786179322991589,1,"cit.Ukra"
"25","CH","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)",265,7313853,1.81163061385018,2,"cit.Koso"
"26","CH","Switzerland","Total",4490,7313853,31,17,"cit.Tota"
"27","CY","Cyprus","Afghanistan",0,713720,0,0,"cit.Afgh"
"28","CY","Cyprus","Albania",0,713720,0,0,"cit.Alba"
"29","CY","Cyprus","Eritrea",0,713720,0,0,"cit.Erit"
"30","CY","Cyprus","Iraq",10,713720,0.700554839432831,1,"cit.Iraq"
"31","CY","Cyprus","Libya",0,713720,0,0,"cit.Liby"
"32","CY","Cyprus","Mali",0,713720,0,0,"cit.Mali"
"33","CY","Cyprus","Serbia",0,713720,0,0,"cit.Serb"
"34","CY","Cyprus","Somalia",15,713720,1.05083225914925,1,"cit.Soma"
"35","CY","Cyprus","Stateless",50,713720,3.50277419716415,4,"cit.Stat"
"36","CY","Cyprus","Syria",215,713720,15.0619290478059,15,"cit.Syri"
"37","CY","Cyprus","Ukraine",20,713720,1.40110967886566,1,"cit.Ukra"
"38","CY","Cyprus","Kosovo (under United Nations Security Council Resolution 1244/99)",0,713720,0,0,"cit.Koso"
"39","CY","Cyprus","Total",470,713720,33,11,"cit.Tota"
"40","DE","Germany (until 1990 former territory of the FRG)","Afghanistan",3085,82536680,1.86886606052,2,"cit.Afgh"
"41","DE","Germany (until 1990 former territory of the FRG)","Albania",6460,82536680,3.91341158864156,4,"cit.Alba"
"42","DE","Germany (until 1990 former territory of the FRG)","Eritrea",1295,82536680,0.784499691531086,1,"cit.Erit"
"43","DE","Germany (until 1990 former territory of the FRG)","Iraq",3215,82536680,1.94761892530691,2,"cit.Iraq"
"44","DE","Germany (until 1990 former territory of the FRG)","Libya",255,82536680,0.154476773235851,0,"cit.Liby"
"45","DE","Germany (until 1990 former territory of the FRG)","Mali",130,82536680,0.0787528647869044,0,"cit.Mali"
"46","DE","Germany (until 1990 former territory of the FRG)","Serbia",9010,82536680,5.45817932100007,5,"cit.Serb"
"47","DE","Germany (until 1990 former territory of the FRG)","Somalia",1085,82536680,0.657283525336856,1,"cit.Soma"
"48","DE","Germany (until 1990 former territory of the FRG)","Stateless",500,82536680,0.302895633795786,0,"cit.Stat"
"49","DE","Germany (until 1990 former territory of the FRG)","Syria",14380,82536680,8.71127842796681,9,"cit.Syri"
"50","DE","Germany (until 1990 former territory of the FRG)","Ukraine",1000,82536680,0.605791267591573,1,"cit.Ukra"
"51","DE","Germany (until 1990 former territory of the FRG)","Kosovo (under United Nations Security Council Resolution 1244/99)",23075,82536680,13.9786334996755,14,"cit.Koso"
"52","DE","Germany (until 1990 former territory of the FRG)","Total",83145,82536680,50,11,"cit.Tota"
"53","DK","Denmark","Afghanistan",75,5383507,0.696571955790157,1,"cit.Afgh"
"54","DK","Denmark","Albania",10,5383507,0.0928762607720209,0,"cit.Alba"
"55","DK","Denmark","Eritrea",40,5383507,0.371505043088084,0,"cit.Erit"
"56","DK","Denmark","Iraq",20,5383507,0.185752521544042,0,"cit.Iraq"
"57","DK","Denmark","Libya",25,5383507,0.232190651930052,0,"cit.Liby"
"58","DK","Denmark","Mali",0,5383507,0,0,"cit.Mali"
"59","DK","Denmark","Serbia",25,5383507,0.232190651930052,0,"cit.Serb"
"60","DK","Denmark","Somalia",90,5383507,0.835886346948188,1,"cit.Soma"
"61","DK","Denmark","Stateless",130,5383507,1.20739139003627,1,"cit.Stat"
"62","DK","Denmark","Syria",605,5383507,5.61901377670727,6,"cit.Syri"
"63","DK","Denmark","Ukraine",25,5383507,0.232190651930052,0,"cit.Ukra"
"64","DK","Denmark","Kosovo (under United Nations Security Council Resolution 1244/99)",45,5383507,0.417943173474094,0,"cit.Koso"
"65","DK","Denmark","Total",1550,5383507,14,5,"cit.Tota"
"66","EL","Greece","Afghanistan",550,10998903,2.50024934304812,3,"cit.Afgh"
"67","EL","Greece","Albania",105,10998903,0.477320329127368,0,"cit.Alba"
"68","EL","Greece","Eritrea",30,10998903,0.136377236893534,0,"cit.Erit"
"69","EL","Greece","Iraq",50,10998903,0.227295394822556,0,"cit.Iraq"
"70","EL","Greece","Libya",0,10998903,0,0,"cit.Liby"
"71","EL","Greece","Mali",5,10998903,0.0227295394822556,0,"cit.Mali"
"72","EL","Greece","Serbia",0,10998903,0,0,"cit.Serb"
"73","EL","Greece","Somalia",40,10998903,0.181836315858045,0,"cit.Soma"
"74","EL","Greece","Stateless",60,10998903,0.272754473787068,0,"cit.Stat"
"75","EL","Greece","Syria",720,10998903,3.27305368544481,3,"cit.Syri"
"76","EL","Greece","Ukraine",70,10998903,0.318213552751579,0,"cit.Ukra"
"77","EL","Greece","Kosovo (under United Nations Security Council Resolution 1244/99)",0,10998903,0,0,"cit.Koso"
"78","EL","Greece","Total",2995,10998903,14,8,"cit.Tota"
"79","ES","Spain","Afghanistan",0,41827838,0,0,"cit.Afgh"
"80","ES","Spain","Albania",0,41827838,0,0,"cit.Alba"
"81","ES","Spain","Eritrea",0,41827838,0,0,"cit.Erit"
"82","ES","Spain","Iraq",30,41827838,0.0358612845349549,0,"cit.Iraq"
"83","ES","Spain","Libya",5,41827838,0.00597688075582582,0,"cit.Liby"
"84","ES","Spain","Mali",50,41827838,0.0597688075582582,0,"cit.Mali"
"85","ES","Spain","Serbia",5,41827838,0.00597688075582582,0,"cit.Serb"
"86","ES","Spain","Somalia",20,41827838,0.0239075230233033,0,"cit.Soma"
"87","ES","Spain","Stateless",0,41827838,0,0,"cit.Stat"
"88","ES","Spain","Syria",1105,41827838,1.32089064703751,1,"cit.Syri"
"89","ES","Spain","Ukraine",190,41827838,0.227121468721381,0,"cit.Ukra"
"90","ES","Spain","Kosovo (under United Nations Security Council Resolution 1244/99)",0,41827838,0,0,"cit.Koso"
"91","ES","Spain","Total",2050,41827838,2,1,"cit.Tota"
"92","FR","France","Afghanistan",175,61864088,0.141439084982551,0,"cit.Afgh"
"93","FR","France","Albania",580,61864088,0.468769538799311,0,"cit.Alba"
"94","FR","France","Eritrea",225,61864088,0.181850252120422,0,"cit.Erit"
"95","FR","France","Iraq",730,61864088,0.590003040212926,1,"cit.Iraq"
"96","FR","France","Libya",155,61864088,0.125274618127402,0,"cit.Liby"
"97","FR","France","Mali",275,61864088,0.222261419258294,0,"cit.Mali"
"98","FR","France","Serbia",135,61864088,0.109110151272253,0,"cit.Serb"
"99","FR","France","Somalia",220,61864088,0.177809135406635,0,"cit.Soma"
"100","FR","France","Stateless",75,61864088,0.0606167507068075,0,"cit.Stat"
"101","FR","France","Syria",685,61864088,0.553632989788842,1,"cit.Syri"
"102","FR","France","Ukraine",400,61864088,0.323289337102973,0,"cit.Ukra"
"103","FR","France","Kosovo (under United Nations Security Council Resolution 1244/99)",1660,61864088,1.34165074897734,1,"cit.Koso"
"104","FR","France","Total",16160,61864088,13,10,"cit.Tota"
"105","HU","Hungary","Afghanistan",4125,10142362,20.3354997583403,20,"cit.Afgh"
"106","HU","Hungary","Albania",80,10142362,0.394385449858721,0,"cit.Alba"
"107","HU","Hungary","Eritrea",30,10142362,0.14789454369702,0,"cit.Erit"
"108","HU","Hungary","Iraq",815,10142362,4.01780177043572,4,"cit.Iraq"
