"","iso2","geo","citizen","sum","pop","perU","sq","cit.code"
"1","AT","Austria","Afghanistan",5745,8142573,35.2775467901854,35,"cit.Afgh"
"2","AT","Austria","Albania",60,8142573,0.368433909035878,0,"cit.Alba"
"3","AT","Austria","Eritrea",50,8142573,0.307028257529899,0,"cit.Erit"
"4","AT","Austria","Iraq",3815,8142573,23.4262560495313,23,"cit.Iraq"
"5","AT","Austria","Libya",75,8142573,0.460542386294848,0,"cit.Liby"
"6","AT","Austria","Pakistan",1185,8142573,7.2765697034586,7,"cit.Paki"
"7","AT","Austria","Serbia",205,8142573,1.25881585587258,1,"cit.Serb"
"8","AT","Austria","Somalia",1160,8142573,7.12305557469365,7,"cit.Soma"
"9","AT","Austria","Stateless",750,8142573,4.60542386294848,5,"cit.Stat"
"10","AT","Austria","Syria",7725,8142573,47.4358657883693,47,"cit.Syri"
"11","AT","Austria","Ukraine",315,8142573,1.93427802243836,2,"cit.Ukra"
"12","AT","Austria","Kosovo (under United Nations Security Council Resolution 1244/99)",2280,8142573,14.0004885433634,14,"cit.Koso"
"13","AT","Austria","Total",28325,8142573,174,33,"cit.Tota"
"14","CH","Switzerland","Afghanistan",550,7364148,3.73430843595213,4,"cit.Afgh"
"15","CH","Switzerland","Albania",120,7364148,0.814758204207737,1,"cit.Alba"
"16","CH","Switzerland","Eritrea",3795,7364148,25.7667282080697,26,"cit.Erit"
"17","CH","Switzerland","Iraq",220,7364148,1.49372337438085,1,"cit.Iraq"
"18","CH","Switzerland","Libya",80,7364148,0.543172136138492,1,"cit.Liby"
"19","CH","Switzerland","Pakistan",65,7364148,0.441327360612524,0,"cit.Paki"
"20","CH","Switzerland","Serbia",120,7364148,0.814758204207737,1,"cit.Serb"
"21","CH","Switzerland","Somalia",650,7364148,4.41327360612524,4,"cit.Soma"
"22","CH","Switzerland","Stateless",120,7364148,0.814758204207737,1,"cit.Stat"
"23","CH","Switzerland","Syria",780,7364148,5.29592832735029,5,"cit.Syri"
"24","CH","Switzerland","Ukraine",185,7364148,1.25608556482026,1,"cit.Ukra"
"25","CH","Switzerland","Kosovo (under United Nations Security Council Resolution 1244/99)",390,7364148,2.64796416367515,3,"cit.Koso"
"26","CH","Switzerland","Total",11875,7364148,81,33,"cit.Tota"
"27","CY","Cyprus","Afghanistan",0,722893,0,0,"cit.Afgh"
"28","CY","Cyprus","Albania",0,722893,0,0,"cit.Alba"
"29","CY","Cyprus","Eritrea",0,722893,0,0,"cit.Erit"
"30","CY","Cyprus","Iraq",15,722893,1.03749794229575,1,"cit.Iraq"
"31","CY","Cyprus","Libya",0,722893,0,0,"cit.Liby"
"32","CY","Cyprus","Pakistan",40,722893,2.76666117945533,3,"cit.Paki"
"33","CY","Cyprus","Serbia",0,722893,0,0,"cit.Serb"
"34","CY","Cyprus","Somalia",25,722893,1.72916323715958,2,"cit.Soma"
"35","CY","Cyprus","Stateless",60,722893,4.14999176918299,4,"cit.Stat"
"36","CY","Cyprus","Syria",350,722893,24.2082853202341,24,"cit.Syri"
"37","CY","Cyprus","Ukraine",40,722893,2.76666117945533,3,"cit.Ukra"
"38","CY","Cyprus","Kosovo (under United Nations Security Council Resolution 1244/99)",0,722893,0,0,"cit.Koso"
"39","CY","Cyprus","Total",770,722893,53,16,"cit.Tota"
