code,fr,it,de,pt,ar,ch
title,Total des réfugiés et demandeurs d'asile dans le monde en 2014,Numero totale di rifugiati e richiedenti l'asilo nel mondo a fine 2014,Total Flüchtlinge und Asylsuchende weltweit im Jahr 2014,Total de refugiados e requerentes de asilo em todo o mundo em 2014,العدد الإجمالي للاجئين وطالبي اللجوء في العالم في عام 2014,2014年世界难民人数及难民申请者总数
group1,par million d'habitants,per milione di abitanti,pro Million Einwohner,por milhão de habitantes,لكل مليون نسمة ,按每百万居民
group2,par 1 USD du PIB par habitant,per 1 USD del PIL pro capite,pro 1 USD des BIP pro Einwohner,por 1 USD do PIB per capita,لكل دولار أمريكي من إجمالي الناتج المحلي للفرد الواحد,按每1美元人均国内生产总值
credits,swissinfo.ch | source: UNHCR & The World Bank,swissinfo.ch | Fonte: UNHCR & The World Bank,swissinfo.ch | Quellen: UNHCR & Weltbank,swissinfo.ch | fonte: ACNUR & Banco Mundial,swissinfo.ch/المصدر: المفوضية السامية لشؤون اللاجئين والبنك الدولي ,瑞士资讯swissinfo.ch | 来源：联合国难民署及世界银行
tooltip.refugeesTotal,Nombre total de réfugiés,Numero totale di rifugiati,Total Flüchtlinge,Número total de refugiados,العدد الإجمالي للاجئين,难民总人数
tooltip.asylumTotal,Nombre total de demandeurs d'asile,Numero totale di richiedenti l'asilo,Total Asylsuchende,Número total de requerentes de asilo,العدد الإجمالي لطالبي اللجوء,难民申请者总数
tooltip.population,Population,Popolazione,Bevölkerung,População,السكان,人口
tooltip.popMillion,millions,milioni,Millionen,milhões,ملايين,百万
tooltip.totalByPop,Nombre de réfugiés et demandeurs d'asile par million d'habitant,Numero di rifugiati e di richiedenti l'asilo per milione di abitanti,Zahl Flüchtlinge und Asylsuchende pro Million Einwohner,Número de refugiados e requerentes de asilo por milhão de habitantes,عدد اللاجئين وطالبي اللجوء لكل مليون نسمة ,每百万居民相对应的难民人数与难民申请者人数
tooltip.gdpPerCapita,PIB par habitant (à parité de pouvoir d'achat et en USD),PIL pro capite (a parità di potere d'acquisto),BIP pro Einwohner (kaufkraftbereinigt),PIB per capita (em paridade de poder aquisitivo),إجمالي الناتج المحلي للفرد الواحد (بتعادل القوة الشرائية),人均国内生产总值(按购买力)
tooltip.totbyGDP,Nombre de réfugiés et demandeurs d'asile par 1 USD de PIB par habitant,Numero di rifugiati e di richiedenti l'asilo per 1 USD del PIL pro capite,Zahl Flüchtlinge und Asylsuchende pro 1 USD des BIP pro Einwohner,Número de refugiados e requerentes de asilo por 1 USD do PIB per capita,عدد اللاجئين وطالبي اللجوء لكل دولار من إجمالي الناتج المحلي للفرد الواحد,每1美元人均国内生产总值相对应的难民人数与难民申请者人数
