code,en,fr,it,de,pt,ar,zh,ru,es,ja
title,Total refugees and asylum seekers in the world in 2014,Total des réfugiés et demandeurs d'asile dans le monde en 2014,Numero totale di rifugiati e richiedenti l'asilo nel mondo a fine 2014,Total Flüchtlinge und Asylsuchende weltweit im Jahr 2014,Total de refugiados e requerentes de asilo em todo o mundo em 2014,العدد الإجمالي للاجئين وطالبي اللجوء في العالم في عام 2014,2014年世界难民人数及难民申请者总数,"Всего беженцев и лиц, ищущих убежища по всему миру в 2014 году",Total de refugiados y solicitantes de asilo en el mundo en 2014,２０１４年の難民と難民申請者の総数
group1,absolute count,nombres absolus,,,,,,,,
group2,per million inhabitants,par million d'habitants,per milione di abitanti,pro Million Einwohner,por milhão de habitantes,لكل مليون نسمة ,按每百万居民,на миллион жителей,por millón de habitantes,人口１００万人当たりの受入れ難民・難民申請者数
group3,per $1 of GDP per inhabitant,par 1 USD du PIB par habitant,per 1 USD del PIL pro capite,pro 1 USD des BIP pro Einwohner,por 1 USD do PIB per capita,لكل دولار أمريكي من إجمالي الناتج المحلي للفرد الواحد,按每1美元人均国内生产总值,на 1 доллар ВВП на душу населения,por 1 dólar EE UU del PIB por habitante,１人当たりの国内総生産（GDP）に占める受入れ難民・難民申請者数（1ドル当たり）
credits,swissinfo.ch I Source: UNHCR and the World Bank,swissinfo.ch | source: UNHCR & The World Bank,swissinfo.ch | Fonte: UNHCR & The World Bank,swissinfo.ch | Quellen: UNHCR & Weltbank,swissinfo.ch | fonte: ACNUR & Banco Mundial,swissinfo.ch/المصدر: المفوضية السامية لشؤون اللاجئين والبنك الدولي ,瑞士资讯swissinfo.ch | 来源：联合国难民署及世界银行,swissinfo.ch | источник: UNHCR & The World Bank,swissinfo.ch fuente: ACNUR & BM,swissinfo.ch | 出典: 国連難民高等弁務官事務所（UNHCR）、世界銀行
tooltip.refugeesTotal,Total number of refugees,Nombre total de réfugiés,Numero totale di rifugiati,Total Flüchtlinge,Número total de refugiados,العدد الإجمالي للاجئين,难民总人数,Общее число беженцев,Número total de refugiados,難民数
tooltip.asylumTotal,Total number of asylum seekers,Nombre total de demandeurs d'asile,Numero totale di richiedenti l'asilo,Total Asylsuchende,Número total de requerentes de asilo,العدد الإجمالي لطالبي اللجوء,难民申请者总数,"Общее число лиц, подающих ходатайство на предоставление убежища",Número total de solicitantes de asilo,難民申請者数
tooltip.population,Population,Population,Popolazione,Bevölkerung,População,السكان,人口,Население,Población,人口
tooltip.popMillion,millions,millions,milioni,Millionen,milhões,ملايين,百万,млн,millones,（単位１００万人）
tooltip.totalByPop,Number of refugees and asylum seekers per million inhabitants,Nombre de réfugiés et demandeurs d'asile par million d'habitant,Numero di rifugiati e di richiedenti l'asilo per milione di abitanti,Zahl Flüchtlinge und Asylsuchende pro Million Einwohner,Número de refugiados e requerentes de asilo por milhão de habitantes,عدد اللاجئين وطالبي اللجوء لكل مليون نسمة ,每百万居民相对应的难民人数与难民申请者人数,"Количество беженцев и лиц, ищущих убежища на миллион жителей",Número de refugiados y solicitantes de asilo por millón de habitantes,人口１００万人当たりの受入れ難民・難民申請者数
tooltip.gdpPerCapita,GDP per inhabitant (purchasing power parity),PIB par habitant (à parité de pouvoir d'achat et en USD),PIL pro capite (a parità di potere d'acquisto),BIP pro Einwohner (kaufkraftbereinigt),PIB per capita (em paridade de poder aquisitivo),إجمالي الناتج المحلي للفرد الواحد (بتعادل القوة الشرائية),人均国内生产总值(按购买力),ВВП на душу населения (по паритету покупательной способности),PIB por habitante (a paridad del poder adquisitivo),１人当たりの国民総生産（GDP）
tooltip.totbyGDP,Number of refugees and asylum seekers per $1 of GDP per inhabitant,Nombre de réfugiés et demandeurs d'asile par 1 USD de PIB par habitant,Numero di rifugiati e di richiedenti l'asilo per 1 USD del PIL pro capite,Zahl Flüchtlinge und Asylsuchende pro 1 USD des BIP pro Einwohner,Número de refugiados e requerentes de asilo por 1 USD do PIB per capita,عدد اللاجئين وطالبي اللجوء لكل دولار من إجمالي الناتج المحلي للفرد الواحد,每1美元人均国内生产总值相对应的难民人数与难民申请者人数,"Количество беженцев и лиц, ищущих убежища на 1 доллар ВВП на душу населения",Número de refugiados y solicitantes de asilo por 1 dólar EE UU por habitante,１人当たりの国内総生産（GDP）に占める受入れ難民・難民申請者数（１ドル当たり）
